adsh,fraud,AccountsReceivable,Cash,CashFlowfromOps,CurrentLiabilities,Depreciation,Expenses,IntangibleAssets,OtherCurrentAssets,OtherIncome,OtherLiabilities,PPE,Sales,ShareholdersEquity,sum_of_first_digits,total_deviation
0000029644-18-000003,0.0,1024800000.0,1243900001.065,279300000.0,402300000.0,1614500000.0,3615700243.97,997800000.0,8481800019.38,183700000.0,4270300000.0,1063100000.0,3628400000.0,12798300012.18,582,0.003172306849
0000029905-18-000013,0.0,2823798000.0,4776944005.18,2518647000.0,4207125000.0,4743723000.0,17675753812.0,40723211000.0,41251959000.0,2716433000.0,31663644000.0,13417597000.0,51732236000.0,70562006202.0,1434,0.0030577415120000002
0000029905-18-000019,0.0,2823798000.0,4776944005.18,2518647000.0,4207125000.0,4743723000.0,17675753812.0,40723211000.0,41251959000.0,2716433000.0,31663644000.0,13417597000.0,51732236000.0,70562006202.0,1434,0.0030577415120000002
0000029915-18-000005,0.0,6428000000.0,-492000000.0,2818000000.0,2091000000.0,12756000000.0,8184000000.0,505000000.0,78393000000.0,59000000.0,18545000000.0,18938000000.0,44247000000.0,31362000000.020008,864,0.00586739816
0000029915-18-000007,0.0,38623000000.0,29743000000.0,17709000000.0,39390000000.0,85471000000.0,205591000000.0,130303000000.0,811995000063.24,77761000000.0,170428000000.0,199656000000.0,420530000000.0,515094000066.9001,1590,0.00236365613
0000029989-18-000004,0.0,17433300000.0,13758600000.0,6290600000.0,48252100000.0,3906500000.0,149595300479.26,55400200000.0,106930000009.87,1763100000.0,64558200000.0,4922200000.0,76515400000.0,97677200008.7,1228,0.004782662598
0000030554-18-000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6213000000.0,0.0,0.0,0.0,3000000.0,0.0,0.31,30,0.1790894113
0000030697-18-000003,0.0,8662421000.0,1573821000.75,771613000.0,2133432000.0,1702292000.0,10145040000.0,10292239000.0,12331406000.0,2427395000.0,16697469000.0,10193923000.0,12137262000.0,39018399000.2,1388,0.00424331712
0000031107-18-000010,0.0,50611597.0,84866737.0,32728851.0,49848115.0,103056632.0,423546276.0,127785527.0,1819248298.0,37614611.0,246414552.0,349817954.0,828263693.0,985827331.33,964,0.013058573899999999
0000031347-18-000008,0.0,5359000.0,29426000.0,-5248000.0,10511000.0,13857000.0,188746135.37,15865000.0,909078083.81,-62000.0,35574000.0,54399000.0,195873000.0,435791000.05,972,0.00614191448
0000031791-18-000004,0.0,1118324000.0,-196531000.0,1854767000.0,2411748000.0,1536567000.0,7295099254.16,12593408000.0,19660055999.66,2580737000.0,16697479000.0,3620519000.0,22410640000.0,25083507005.19,1532,0.004123455011
0000031978-18-000011,0.0,275957000.0,-668862000.0,767486000.0,1392590000.0,2829491000.0,5860768000.0,0.0,10935352000.0,1615001000.0,10052209000.0,21226383000.0,6390776000.0,23878342008.244995,1164,0.0030466928889999996
0000032604-18-000011,0.0,5715000000.0,21984000000.965,1431000000.0,7812000000.0,9533000000.0,4884000000.0,15018000000.0,82726000000.07,-891000000.0,30798000000.0,24655000000.0,11592000000.0,146099000001.0,460,0.024388398140000003
0000033185-18-000011,0.0,1044000000.0,1757600004.04,2474000000.0,1914600000.0,2271500000.0,11602101188.41,25015100000.0,40722400059.57,1757200000.0,32108000000.0,6767600000.0,15896800000.0,51699892168.52,1244,0.003548600207
0000033213-18-000003,0.0,1311468000.0,-2033883999.6400003,3882034000.0,9903007000.0,29573661000.0,22434103000.0,3808686000.0,92949612000.0,14183909000.0,74554644000.0,489751636000.0,-3576263000.0,151386353000.01,1540,0.0044715984159999994
0000034067-18-000009,0.0,98801000.0,13368000.0,26563000.0,77039000.0,133267000.0,733343001.1200001,314422000.0,800138000.0,-4345000.0,281321000.0,445126000.0,869674000.0,945864000.5,876,0.009386434736
0000034088-18-000015,0.0,194517000000.0,-15020999991.08,82492000000.0,282195000000.0,494495000000.0,852649000000.0,7438000000.0,1466025000670.15,18231000000.0,697939000000.0,2296790000000.0,2195130000000.0,3527919000000.0,1236,0.003801548641
0000034563-18-000011,0.0,233514000.0,-37736375.0,9781000.0,69766000.0,420254000.0,1128841000.0,326123000.0,1551909000.0,106754000.0,888865500.0,1326396000.0,1875218000.0,2034612042.32,716,0.01823801778
