,,,value,value,value,value,value,value,value
tag,,,CurrentAssets,Expenses,Goodwill,Income,Liabilities,LongtermAssets,ShareholdersEquity
fraud,adsh,ddate,,,,,,,
0.0,0000007789-18-000013,20151231.0,24768473235.08,1542278000.0,0.0,9135711000.0,2202155000.0,2192316000.0,3753100000.0
0.0,0000007789-18-000013,20161231.0,150995250594.75998,6328119919.67,971951000.0,7741990000.0,80223898000.0,3740297000.0,10616387001.01
0.0,0000007789-18-000013,20170331.0,162000.0,,55000.0,,,,
0.0,0000007789-18-000013,20171231.0,158710746967.52997,5885607874.650001,980239000.0,6055692000.0,88830308000.0,4285260000.0,14438873001.01
0.0,0000008063-18-000006,20141231.0,21378000.0,43778009.43,,4884000.0,,,
0.0,0000008063-18-000006,20151231.0,716764028.85,738689061.86,115369000.0,1194642000.0,115547000.0,255392000.0,387922000.0
0.0,0000008063-18-000006,20160229.0,,,,,,,50000000.0
0.0,0000008063-18-000006,20160331.0,,,0.0,210498000.0,,16512000.0,
0.0,0000008063-18-000006,20160630.0,,,0.0,224241000.0,,21555000.0,
0.0,0000008063-18-000006,20160930.0,,,0.0,205836000.0,,16422000.0,
0.0,0000008063-18-000006,20161231.0,1924159028.8999999,690014093.33,263336000.0,1224864000.0,1313374000.0,1032998000.0,790571000.0
0.0,0000008063-18-000006,20170331.0,,,0.0,202300000.0,,15491000.0,
0.0,0000008063-18-000006,20170630.0,,,0.0,192949000.0,,10569000.0,
0.0,0000008063-18-000006,20170930.0,,,0.0,188189000.0,,8646000.0,
0.0,0000008063-18-000006,20171231.0,2585129031.85,673323107.25,375997000.0,1084961000.0,1835623000.0,1596493000.0,823277000.0
0.0,0000008670-18-000003,20160630.0,15458600000.0,,,,,,-215100000.0
0.0,0000008670-18-000003,20160930.0,,,,,,,-246400000.0
0.0,0000008670-18-000003,20161231.0,15515800000.0,13240300000.0,,54647900006.16,25900000.0,4493300000.0,-1658999998.33
0.0,0000008670-18-000003,20170630.0,165557600000.0,21798600000.0,1741000000.0,845700000.0,112245200000.0,33801400000.0,30561400001.1
0.0,0000008670-18-000003,20170930.0,,,,,,,-344600000.0
0.0,0000008670-18-000003,20171231.0,258056700000.0,36484200000.0,2587600000.0,60821100006.04,159375400000.0,43432800000.0,32066900002.93
0.0,0000008868-18-000013,20141231.0,1041300000.0,,,,,,305300000.0
0.0,0000008868-18-000013,20150331.0,11400000.0,-7600000.0,,800000.0,,,
0.0,0000008868-18-000013,20151231.0,6567700000.24,1560900000.0,6900000.0,13138700046.4,479400000.0,4054300000.0,-5652800000.0
0.0,0000008868-18-000013,20160229.0,,,,,,,1015.0
0.0,0000008868-18-000013,20160331.0,29300000.0,46800000.0,,1926499999.24,,-158100000.0,-155300000.0
0.0,0000008868-18-000013,20160630.0,,9400000.0,,2429100000.1400003,,71900000.0,36000000.0
0.0,0000008868-18-000013,20160930.0,,14000000.0,,2441200000.1400003,,74600000.0,35900000.0
0.0,0000008868-18-000013,20161231.0,22400200001.37,3707300020.09,365800000.0,20217699999.38,13939200000.0,9778200000.0,5805000000.25
0.0,0000008868-18-000013,20170331.0,,10000000.0,,2141299999.8,,-6700000.0,-36500000.0
0.0,0000008868-18-000013,20170630.0,,20300000.0,,2252899999.76,,-12200000.0,-46100000.0
0.0,0000008868-18-000013,20170930.0,,6200000.0,,2381100000.02,,48000000.0,11300000.0
0.0,0000008868-18-000013,20171231.0,27246300001.54,3816000082.56,372100000.0,23021000000.34,17027000000.0,10746800000.0,5787100000.25
0.0,0000009092-18-000002,20101231.0,,,,,1500000.0,,
0.0,0000009092-18-000002,20141231.0,10781000.0,,,1739000.0,,,214331000.0
0.0,0000009092-18-000002,20151231.0,71245000.39,25467000.0,,939656001.8,-184000.0,167518000.0,247662000.0
